STOCK REGISTER REPORT (15-02-2026),,,,,,,,
SNo,Product Name,Barcode,Product Code,Category,Subcategory,stock,Avg Cost,Value
162,MOOV SPRAY 150ML,23897,8901177101502,UNAVAILABLE,UNAVAILABLE,-5 Nos,1.600,-8.000
163,ENCHANTEUR ROLL ON CHARM 50ML,23921,8888202018175,UNAVAILABLE,UNAVAILABLE,-2 Nos,1.300,-2.600
164,CRUNCHOS MIX NUTS 20GM,24162,5038572210010,UNAVAILABLE,UNAVAILABLE,-115 Nos,0.200,-23.000
165,BARKA EGG 1X15,24198,2010000246597,UNAVAILABLE,UNAVAILABLE,-2 Nos,1.200,-2.400
166,LABANMANGO 180 ML,39949,6281007039581,UNAVAILABLE,UNAVAILABLE,-144 Nos,0.200,-28.800
167,GALAXY WHITE CHOCOLATE,38861,6294001824176,UNAVAILABLE,UNAVAILABLE,-877 Nos,0.450,-394.650
168,AL MARAI JIBA 8,37036,6281007032759,UNAVAILABLE,UNAVAILABLE,-282 Nos,0.450,-126.900
169,STRAWBERRY CUP,36455,6291053090023,UNAVAILABLE,UNAVAILABLE,-227 Nos,0.200,-45.400
170,TIFFANY BUGLES SWEET CHILI,9501025535351,9501025535351,UNAVAILABLE,UNAVAILABLE,-166 Nos,0.450,-74.700
171,MAI DUBAI 1.5LITER,38648,6297000611006,UNAVAILABLE,UNAVAILABLE,-930 Nos,0.200,-186.000
172,MAZOON MILKCHOCOLATE 200 ML,40899,6291108090152,UNAVAILABLE,UNAVAILABLE,-26 Nos,0.200,-5.200
173,MAZOON APPLE JUICE 1.5L,41143,6291108090985,UNAVAILABLE,UNAVAILABLE,-5 Nos,0.900,-4.500
174,LBN MANGO 340ML,41505,6281007039826,UNAVAILABLE,UNAVAILABLE,-210 Nos,0.350,-73.500
175,AL MARAI APPLE 1LTR,40458,6281007210584,UNAVAILABLE,UNAVAILABLE,-38 Nos,0.700,-26.600
176,AL MRAI LONG LIFE 4P,38278,6281007032391,UNAVAILABLE,UNAVAILABLE,-16 Nos,2.200,-35.200
177,MERBA CHOC COOKIES 150G,41508,8710502260025,UNAVAILABLE,UNAVAILABLE,-2 Nos,1.050,-2.100
178,IND HOT&SPY FRID NOODLES 5PCS,41365,5285000396109,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.950,-0.950
179,INDOMI SPICY BEEF FLV 5 PSC,39977,5285000396383,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.950,-0.950
180,INDOMI CHICK5P,36184,5285000390640,UNAVAILABLE,UNAVAILABLE,-8 Nos,0.800,-6.400
181,INDOMI CURY FLOUR,36173,5285000390596,UNAVAILABLE,UNAVAILABLE,-25 Nos,0.800,-20.000
182,INDOMIE FRIED NOODLES 80GM X5,35497,5285000390589,UNAVAILABLE,UNAVAILABLE,-22 Nos,0.800,-17.600
183,INDOMICHICKEN FLO 5P,36181,5285000390602,UNAVAILABLE,UNAVAILABLE,-7 Nos,0.800,-5.600
184,INDOMIE 5 PACKS,39441,5285000390626,UNAVAILABLE,UNAVAILABLE,-13 Nos,0.800,-10.400
185,IND SPECIAL 406,41366,5285000396406,UNAVAILABLE,UNAVAILABLE,-3 Nos,0.950,-2.850
186,PAMPERS NO 3  17,39311,4015400751373,UNAVAILABLE,UNAVAILABLE,-5 Nos,1.900,-9.500
187,PAMPERS NO 6,41515,8001090859419,UNAVAILABLE,UNAVAILABLE,-10 Nos,1.800,-18.000
188,PAMPERS NO 4+,41516,4015400751434,UNAVAILABLE,UNAVAILABLE,-10 Nos,1.800,-18.000
189,ALWAYS FEEL,38475,4015400648123,UNAVAILABLE,UNAVAILABLE,-25 Nos,1.600,-40.000
190,LIFE BUOY ACTIV FORMULA 200ML,41517,6281006484061,UNAVAILABLE,UNAVAILABLE,-21 Nos,1.200,-25.200
191,SIGNAL 50 ML,41518,6221048407796,UNAVAILABLE,UNAVAILABLE,-12 Nos,0.500,-6.000
192,MANI MIXES NUTS 150G,41519,6294008110173,UNAVAILABLE,UNAVAILABLE,-3 Nos,1.200,-3.600
193,MANI CASHEWS  150G,39694,6294008110456,UNAVAILABLE,UNAVAILABLE,-4 Nos,1.700,-6.800
194,ALMRAI ORANGE JUICE 300ML,35309,6281007029629,UNAVAILABLE,UNAVAILABLE,-159 Nos,0.250,-39.750
195,TIFFANY BREAK TWO FINGERS,12922,6291003045790,UNAVAILABLE,UNAVAILABLE,-698 Nos,0.075,-52.350
196,BREAK 24 PCS,41520,6291003205187,UNAVAILABLE,UNAVAILABLE,-4 Nos,1.200,-4.800
197,ARIEL 110G,35711,5410076768646,UNAVAILABLE,UNAVAILABLE,-19 Nos,0.200,-3.800
198,PREMIUMLABNEH FULLFAT 180G,40110,6281007037181,UNAVAILABLE,UNAVAILABLE,-37 Nos,0.800,-29.600
199,AL MARAI SU JUICE 1L ORANGE,41020,6281007056021,UNAVAILABLE,UNAVAILABLE,-5 Nos,1.350,-6.750
200,DURAX EXTRA SAFE 6P,36554,5010232964495,UNAVAILABLE,UNAVAILABLE,-69 Nos,3.600,-248.400
201,DUREX EXTRA SAFE 3P,36553,5038483682920,UNAVAILABLE,UNAVAILABLE,-322 Nos,2.200,-708.400
202,DUREX ULTRA 3P,36556,5038483867198,UNAVAILABLE,UNAVAILABLE,-6 Nos,1.900,-11.400
203,DUREXREALFEEL 3 PS,40870,6295120030998,UNAVAILABLE,UNAVAILABLE,-41 Nos,3.500,-143.500
204,DUREX INVISIBLE,40483,5052197050707,UNAVAILABLE,UNAVAILABLE,-95 Nos,2.600,-247.000
205,DUREX INTENSE 3P,36550,5052197003789,UNAVAILABLE,UNAVAILABLE,-110 Nos,2.700,-297.000
206,DUREX FEEL THIN 3PCS,41255,5038483739020,UNAVAILABLE,UNAVAILABLE,-193 Nos,2.100,-405.300
207,DUREX PERFORMA 3P,36546,5038483682821,UNAVAILABLE,UNAVAILABLE,-241 Nos,2.400,-578.400
208,PEARS OIL CLEAR 125G,41530,8901030623790,UNAVAILABLE,UNAVAILABLE,-5 Nos,0.600,-3.000
209,PARLIMENT AQUA BLUE,7622100764564,7622100764564,UNAVAILABLE,UNAVAILABLE,"-1,578 Nos",1.900,"-2,998.200"
210,AL MARAI COOKING CREAM FULL FAT 250 ML,38747,6281007031196,UNAVAILABLE,UNAVAILABLE,-24 Nos,0.900,-21.600
211,AL MARAI NBUTTER 60G,41531,6281007035088,UNAVAILABLE,UNAVAILABLE,-4 Nos,0.400,-1.600
